contractSymbol,predicted_call_price
AAPL231215C00090000,105.66100825485438
AAPL231215C00095000,100.66332552593313
AAPL231215C00100000,95.66564279701177
AAPL231215C00105000,90.66796006809045
AAPL231215C00110000,85.67027733916916
AAPL231215C00115000,80.67259461024786
AAPL231215C00120000,75.67491188132655
AAPL231215C00125000,70.67722915240525
AAPL231215C00130000,65.6795464234839
AAPL231215C00135000,60.681863694562594
AAPL231215C00140000,55.68418096564129
AAPL231215C00145000,50.68649823671996
AAPL231215C00150000,45.688815507798644
AAPL231215C00155000,40.69113277887734
AAPL231215C00157500,38.19229141441669
AAPL231215C00160000,35.693450049956034
AAPL231215C00162500,33.19460868549538
AAPL231215C00165000,30.695767321034726
AAPL231215C00167500,28.196925956574056
AAPL231215C00170000,25.698084592113393
AAPL231215C00172500,23.199243227652747
AAPL231215C00175000,20.700401863192095
AAPL231215C00177500,18.20156049873143
AAPL231215C00180000,15.702719134270774
AAPL231215C00182500,13.203877769810122
AAPL231215C00185000,10.705036405349464
AAPL231215C00187500,8.206195040888801
AAPL231215C00190000,5.707353676428148
AAPL231215C00192500,3.208512311967491
AAPL231215C00195000,0.7096709475068345
AAPL231215C00197500,0.0
AAPL231215C00200000,0.0
AAPL231215C00202500,0.0
AAPL231215C00205000,0.0
AAPL231215C00207500,0.0
AAPL231215C00210000,0.0
AAPL231215C00212500,0.0
AAPL231215C00215000,0.0
AAPL231215C00217500,0.0
AAPL231215C00220000,0.0
AAPL231215C00225000,0.0
AAPL231215C00230000,0.0
AAPL231215C00235000,0.0
AAPL231215C00240000,0.0
AAPL231215C00245000,0.0
AAPL231215C00250000,0.0
AAPL231215C00255000,0.0
AAPL231215C00260000,0.0
AAPL231215C00265000,0.0
AAPL231215C00270000,0.0
AAPL231215C00275000,0.0
AAPL231215C00280000,0.0
AAPL231215C00285000,0.0
AAPL231215C00290000,0.0
AAPL231215C00295000,0.0
AAPL231222C00060000,135.5371078600067
AAPL231222C00075000,120.5562175947344
AAPL231222C00080000,115.56258750631032
AAPL231222C00085000,110.56895741788622
AAPL231222C00100000,95.58806715261403
AAPL231222C00105000,90.59443706418989
AAPL231222C00110000,85.60080697576582
AAPL231222C00120000,75.6135467989176
AAPL231222C00125000,70.61991671049351
AAPL231222C00130000,65.62628662206943
AAPL231222C00135000,60.632656533645346
AAPL231222C00140000,55.63902644522125
AAPL231222C00145000,50.64539635679715
AAPL231222C00150000,45.65176626837307
AAPL231222C00155000,40.658136179948976
AAPL231222C00160000,35.66450609152488
AAPL231222C00162500,33.167691047312815
AAPL231222C00165000,30.67087600310078
AAPL231222C00170000,25.677245914676693
AAPL231222C00172500,23.180430870464644
AAPL231222C00175000,20.683615826252602
AAPL231222C00177500,18.186800782040557
AAPL231222C00180000,15.6899857378285
AAPL231222C00182500,13.193170693616462
AAPL231222C00185000,10.69635564940441
AAPL231222C00187500,8.199540605192368
AAPL231222C00190000,5.70272556098032
AAPL231222C00192500,3.2059105167682773
AAPL231222C00195000,0.709095472556229
AAPL231222C00197500,0.0
AAPL231222C00200000,0.0
AAPL231222C00202500,0.0
AAPL231222C00205000,0.0
AAPL231222C00207500,0.0
AAPL231222C00210000,0.0
AAPL231222C00212500,0.0
AAPL231222C00215000,0.0
AAPL231222C00217500,0.0
AAPL231222C00220000,0.0
AAPL231222C00222500,0.0
AAPL231222C00225000,0.0
AAPL231222C00230000,0.0
AAPL231222C00235000,0.0
AAPL231222C00240000,0.0
AAPL231222C00250000,0.0
AAPL231222C00255000,0.0
AAPL231229C00050000,145.40636175689926
AAPL231229C00080000,115.46887735152569
AAPL231229C00095000,100.50013514883896
AAPL231229C00100000,95.51055441461004
AAPL231229C00105000,90.5209736803811
AAPL231229C00115000,80.54181221192326
AAPL231229C00125000,70.56265074346541
AAPL231229C00130000,65.5730700092365
AAPL231229C00135000,60.583489275007565
AAPL231229C00140000,55.59390854077866
AAPL231229C00145000,50.60432780654974
AAPL231229C00150000,45.614747072320824
AAPL231229C00155000,40.6251663380919
AAPL231229C00160000,35.63558560386297
AAPL231229C00165000,30.64600486963405
AAPL231229C00170000,25.656424135405125
AAPL231229C00175000,20.666843401176205
AAPL231229C00180000,15.677262666947286
AAPL231229C00185000,10.687681932718357
AAPL231229C00190000,5.698101198489438
AAPL231229C00195000,0.7085204642605145
AAPL231229C00200000,0.0
AAPL231229C00205000,0.0
AAPL231229C00210000,0.0
AAPL231229C00215000,0.0
AAPL231229C00220000,0.0
AAPL231229C00225000,0.0
AAPL231229C00230000,0.0
AAPL231229C00235000,0.0
AAPL231229C00240000,0.0
AAPL231229C00245000,0.0
AAPL231229C00250000,0.0
AAPL231229C00255000,0.0
AAPL231229C00265000,0.0
AAPL240105C00100000,95.43310453198892
AAPL240105C00120000,75.49096587730517
AAPL240105C00125000,70.50543121363425
AAPL240105C00130000,65.5198965499633
AAPL240105C00135000,60.53436188629242
AAPL240105C00140000,55.548827222621476
AAPL240105C00145000,50.56329255895056
AAPL240105C00150000,45.57775789527962
AAPL240105C00155000,40.59222323160871
AAPL240105C00160000,35.60668856793778
AAPL240105C00165000,30.62115390426684
AAPL240105C00170000,25.635619240595926
AAPL240105C00175000,20.650084576924996
AAPL240105C00180000,15.664549913254064
AAPL240105C00185000,10.679015249583134
AAPL240105C00190000,5.693480585912208
AAPL240105C00195000,0.7079459222412793
AAPL240105C00200000,0.0
AAPL240105C00205000,0.0
AAPL240105C00210000,0.0
AAPL240105C00215000,0.0
AAPL240105C00220000,0.0
AAPL240105C00225000,0.0
AAPL240105C00230000,0.0
AAPL240105C00235000,0.0
AAPL240105C00240000,0.0
AAPL240105C00250000,0.0
AAPL240105C00260000,0.0
AAPL240112C00135000,60.48527433516913
AAPL240112C00140000,55.50378246108174
AAPL240112C00145000,50.52229058699436
AAPL240112C00155000,40.55930683881956
AAPL240112C00160000,35.57781496473218
AAPL240112C00165000,30.596323090644777
AAPL240112C00170000,25.61483121655738
AAPL240112C00175000,20.633339342469988
AAPL240112C00180000,15.651847468382595
AAPL240112C00185000,10.670355594295208
AAPL240112C00190000,5.688863720207813
AAPL240112C00195000,0.7073718461204178
AAPL240112C00200000,0.0
AAPL240112C00205000,0.0
AAPL240112C00210000,0.0
AAPL240112C00215000,0.0
AAPL240112C00220000,0.0
AAPL240112C00225000,0.0
AAPL240112C00230000,0.0
AAPL240119C00050000,145.84098052758358
AAPL240119C00055000,141.27141792943763
AAPL240119C00060000,136.47614502557306
AAPL240119C00065000,131.22691207697883
AAPL240119C00070000,126.32258338254347
AAPL240119C00075000,121.60392679847583
AAPL240119C00080000,116.23242367547132
AAPL240119C00085000,111.32311397902917
AAPL240119C00090000,106.28485323243078
AAPL240119C00095000,101.92409085269485
AAPL240119C00100000,96.61016809539497
AAPL240119C00105000,91.58915924811392
AAPL240119C00110000,86.59646725458592
AAPL240119C00115000,81.74837113724693
AAPL240119C00120000,76.96655750537158
AAPL240119C00125000,72.05349641886917
AAPL240119C00130000,66.87915111516938
AAPL240119C00135000,61.8876754543861
